Date,R_strat,R_market,XR_strat,XR_market,Beta_63,Beta_126,Corr_63,Corr_126
2015-02-03,0.0,-0.004643483770618517,-0.00023125256064071564,-0.004874736331259233,,,,
2015-02-04,0.0,-0.003751432939651078,-0.00023125256064071564,-0.003982685500291794,,,,
2015-02-05,0.0,-0.0013755630903555804,-0.00023125256064071564,-0.001606815650996296,,,,
2015-02-06,0.0,-0.005814064934449137,-0.00023125256064071564,-0.0060453174950898525,,,,
2015-02-09,0.0,-0.01555240973670402,-0.00023125256064071564,-0.015783662297344736,,,,
2015-02-10,0.0,0.0045975355349490155,-0.00023125256064071564,0.0043662829743083,,,,
2015-02-11,0.0,0.007220854159723844,-0.00023125256064071564,0.006989601599083128,,,,
2015-02-12,0.0,0.009753739278629103,-0.00023125256064071564,0.009522486717988388,,,,
2015-02-13,0.0,0.0107845558389561,-0.00023125256064071564,0.010553303278315385,,,,
2015-02-16,0.0,0.00043718237181300523,-0.00023125256064071564,0.0002059298111722896,,,,
2015-02-18,0.0,0.006782566551384539,-0.00023125256064071564,0.006551313990743823,,,,
2015-02-19,0.0,0.0029540986646272582,-0.00023125256064071564,0.0027228461039865426,,,,
2015-02-20,0.0,-0.006936269340802492,-0.00023125256064071564,-0.007167521901443208,,,,
2015-02-23,0.0,-0.008903438863023694,-0.00023125256064071564,-0.00913469142366441,,,,
2015-02-24,0.0,0.0008166139044774035,-0.00023125256064071564,0.0005853613438366878,,,,
2015-02-25,0.0,0.0005878032497472763,-0.00023125256064071564,0.0003565506891065606,,,,
2015-02-26,0.0,-0.00951271956713906,-0.00023125256064071564,-0.009743972127779776,,,,
2015-02-27,0.0,0.018511375395821705,-0.00023125256064071564,0.01828012283518099,,,,
2015-03-02,0.0,0.01268009809128312,-0.00023125256064071564,0.012448845530642405,,,,
2015-03-03,0.0,0.004410081781896391,-0.00023125256064071564,0.0041788292212556755,,,,
2015-03-04,0.0,-0.008181143184660233,-0.00023125256064071564,-0.008412395745300949,,,,
2015-03-05,0.0,0.0016922784950608172,-0.00023125256064071564,0.0014610259344201015,,,,
2015-03-09,0.0,-0.02025118178512486,-0.00023125256064071564,-0.020482434345765577,,,,
2015-03-10,0.0,-0.005104655872612551,-0.00023125256064071564,-0.005335908433253267,,,,
2015-03-11,0.0,-0.0013888361116221049,-0.00023125256064071564,-0.0016200886722628205,,,,
2015-03-12,0.0,0.008741406902360804,-0.00023125256064071564,0.008510154341720089,,,,
2015-03-13,0.0,-0.014613719234275346,-0.00023125256064071564,-0.014844971794916062,,,,
2015-03-16,0.0,-0.0016882552542568652,-0.00023125256064071564,-0.0019195078148975808,,,,
2015-03-17,0.0,0.010442238346779709,-0.00023125256064071564,0.010210985786138993,,,,
2015-03-18,0.0,-0.004287301239194297,-0.00023125256064071564,-0.004518553799835012,,,,
2015-03-19,0.0,-0.00590036699653107,-0.00023125256064071564,-0.006131619557171786,,,,
2015-03-20,0.0,-0.0073830435647072035,-0.00023125256064071564,-0.007614296125347919,,,,
2015-03-23,0.0,-0.002333477124745964,-0.00023125256064071564,-0.0025647296853866797,,,,
2015-03-24,0.0,-0.000929749494125387,-0.00023125256064071564,-0.0011610020547661026,,,,
2015-03-25,0.0,-0.0014222710360253243,-0.00023125256064071564,-0.00165352359666604,,,,
2015-03-26,0.0,-0.022113918786236364,-0.00023125256064071564,-0.02234517134687708,,,,
2015-03-27,0.0,-8.990487642646094e-05,-0.00023125256064071564,-0.0003211574370671766,,,,
2015-03-30,0.0,0.018090417315550278,-0.00023125256064071564,0.017859164754909562,,,,
2015-03-31,0.0,-0.0001530568535489385,-0.00023125256064071564,-0.00038430941418965414,,,,
2015-04-01,0.0,0.011217759981156483,-0.00023125256064071564,0.010986507420515768,,,,
2015-04-06,0.0,0.00857771327704171,-0.00023125256064071564,0.008346460716400994,,,,
2015-04-07,0.0,4.612224673294918e-05,-0.00023125256064071564,-0.00018513031390776646,,,,
2015-04-08,0.0,0.006246964557533818,-0.00023125256064071564,0.006015711996893103,,,,
2015-04-09,0.0,0.007332623152276119,-0.00023125256064071564,0.007101370591635403,,,,
2015-04-10,0.0,0.0002335081659441407,-0.00023125256064071564,2.2556053034250567e-06,,,,
2015-04-13,0.0,0.006110279546012176,-0.00023125256064071564,0.0058790269853714605,,,,
2015-04-16,0.0,-0.014410211080767454,-0.00023125256064071564,-0.01464146364140817,,,,
