Date,LongOnly_NAV
2016-02-08,0.9999815398810094
2016-02-15,0.9995301698298678
2016-02-22,0.9993943692834735
2016-02-29,0.9998442113036098
2016-03-04,1.0001575713704056
2016-03-14,0.9995925867765867
2016-03-21,0.9992204409735324
2016-03-28,0.9985589272813113
2016-04-04,0.9981034555283124
2016-04-11,0.9987591336609035
2016-04-18,0.9984255970364623
2016-04-25,0.9996981898790107
2016-05-02,0.9996223442533353
2016-05-09,0.9982278152877431
2016-05-16,0.9983124091966402
2016-05-23,0.997130125047258
2016-05-30,0.9965837359503124
2016-06-06,0.998620678944721
2016-06-13,0.998456181374665
2016-06-20,0.998705561641693
2016-06-27,0.9981751324180985
2016-07-04,0.9957071262113978
2016-07-11,0.9949087343469466
2016-07-18,0.9944516420230677
2016-07-25,0.9932385111923726
2016-08-01,0.9905494529622166
2016-08-08,0.9834652618925429
2016-08-12,0.989173776051796
2016-08-22,0.9860455690610374
2016-08-29,0.9950724779395906
2016-09-02,1.008321137873702
2016-09-12,1.0134873732389151
2016-09-19,1.011712307491109
2016-09-26,1.0103997248022127
2016-10-03,1.0136545332142188
2016-10-10,1.0042926841062687
2016-10-17,1.0145974330568162
2016-10-24,1.0182281055524134
2016-10-30,1.014162290867821
2016-11-07,1.0177255308513113
2016-11-11,0.9665781250576524
2016-11-21,0.981346656821093
2016-11-28,0.9903385587181934
2016-12-05,0.9948458513985607
2016-12-12,0.9921290847598943
2016-12-19,0.9855747586823664
2016-12-26,0.9961570977092632
2017-01-02,1.0006986359272991
2017-01-09,1.0082652971095851
2017-01-16,1.0082381531566271
2017-01-23,1.0163071795447907
2017-01-30,1.0069718763957518
2017-02-06,1.004109667831345
2017-02-13,1.0038506740026374
2017-02-20,1.0057514672220527
2017-02-27,1.007932021407311
2017-03-06,1.0070517281258322
2017-03-10,1.022374753026969
2017-03-20,1.0167383130792484
2017-03-27,1.0237868877851988
2017-04-03,1.036643945342681
2017-04-10,1.0453684789142472
2017-04-17,1.0418494720060205
2017-04-24,1.0505146461193113
2017-04-28,1.0563874459744789
2017-05-08,1.0679030302371446
2017-05-15,1.0707638561157562
2017-05-22,1.0546869386105155
2017-05-29,1.0615475130342396
2017-06-05,1.0557526612991848
2017-06-12,1.056665736384121
2017-06-19,1.0558095475001588
2017-06-23,1.0372000810782809
2017-07-03,1.0342344396036653
2017-07-10,1.028339437821135
2017-07-17,1.022127564859291
2017-07-24,1.02714362092152
2017-07-31,1.0294332749099266
2017-08-07,1.015847291521064
2017-08-14,1.0271770099202169
2017-08-21,1.0252327045248437
2017-08-28,1.0121061344695657
2017-09-04,1.0249709328700873
2017-09-11,1.0344461166244037
2017-09-18,1.0340170452666246
2017-09-25,1.0430164440321013
2017-09-29,1.0512443777593308
2017-10-09,1.064193365276249
2017-10-16,1.066152392192248
2017-10-23,1.0675988467229585
2017-10-30,1.0716835009822314
2017-11-06,1.0591367840101589
2017-11-13,1.05244997099378
2017-11-20,1.0564148877821042
2017-11-27,1.0578142353353512
2017-12-04,1.0590133413860472
2017-12-11,1.0508057839103508
2017-12-18,1.0616087524654227
2017-12-22,1.0632468561298083
2018-01-01,1.0553747312305348
2018-01-08,1.0524148646435307
2018-01-15,1.0371635912626849
2018-01-22,1.0381073068274906
2018-01-29,1.032343106453793
2018-02-05,1.0175513116916848
2018-02-12,1.0211226639187145
2018-02-19,1.0193970366492193
2018-02-26,1.0159057128792115
2018-03-05,1.0028114390876748
2018-03-12,1.0149562548308093
2018-03-19,1.0160484986564395
2018-03-26,1.0263421769557528
2018-04-02,1.040009614625612
2018-04-09,1.0480058419320188
2018-04-16,1.0477440232101616
2018-04-23,1.0408540031739335
2018-04-30,1.0301101267456734
2018-05-07,1.0295785891081655
2018-05-14,1.0222513228798096
2018-05-21,1.0330074319317013
2018-05-28,1.0303712849651196
2018-06-04,1.0206563597645395
2018-06-11,1.0230161423975659
2018-06-18,1.0153172627117815
2018-06-25,1.0103729838593647
2018-07-02,1.0138924732781982
2018-07-09,1.0248429161018273
2018-07-16,1.035100147654106
2018-07-23,1.0485207221823658
2018-07-30,1.0479421792049413
2018-08-06,1.0439292046547173
2018-08-13,1.0503928273206413
2018-08-20,1.0521208759367877
2018-08-27,1.054029581438435
2018-09-03,1.0407587038340362
2018-09-10,1.0306768319564301
2018-09-17,1.0196326348184837
2018-09-24,1.0191251693070202
2018-10-01,1.0098101545877791
2018-10-08,1.0162576732064592
2018-10-15,1.019541448828798
2018-10-22,1.0157025884132036
2018-10-29,1.0188083909660424
2018-11-05,1.0160311988133286
2018-11-12,1.0174672606897328
2018-11-19,1.0106934883310108
2018-11-26,1.0129640172979677
2018-12-03,1.014535125635821
2018-12-10,1.0200545422192648
2018-12-17,1.022321452007482
2018-12-24,1.023117533870886
2018-12-31,1.0238731814716882
2019-01-07,1.0250947306989864
2019-01-14,1.0289436601460016
2019-01-21,1.031012530209831
2019-01-28,1.0326812132727057
2019-02-04,1.0296673764775546
2019-02-11,1.0286242561777506
2019-02-18,1.0309626948979094
2019-02-25,1.03123424368189
2019-03-01,1.0446697997523733
2019-03-11,1.0510796497190762
2019-03-18,1.0518632028604271
2019-03-25,1.0592056186851866
2019-04-01,1.062312873300456
2019-04-08,1.0644090410843579
2019-04-15,1.066583826023442
2019-04-22,1.0689716756468175
2019-04-26,1.0637817267957137
2019-05-06,1.0554664712598358
2019-05-13,1.0593768417496594
2019-05-20,1.050535217031004
2019-05-27,1.0489548358295784
2019-06-03,1.049428099274568
2019-06-10,1.0504199835414998
2019-06-17,1.0494132594398262
2019-06-24,1.0559529192785415
2019-07-01,1.0543839739173313
2019-07-08,1.059996791828384
2019-07-15,1.0644484251088335
2019-07-22,1.0664119781024868
2019-07-29,1.0575370865473286
2019-08-05,1.068361012203838
2019-08-09,1.0547272772656573
2019-08-19,1.0496323867037662
2019-08-26,1.054528979832483
2019-08-30,1.0403625115755495
2019-09-09,1.0466713426257488
2019-09-16,1.037545931650351
2019-09-23,1.0401053939120488
2019-09-30,1.0344636547713997
2019-10-07,1.0462267191175818
2019-10-14,1.0514810328582012
2019-10-18,1.0507420244320238
2019-10-27,1.058396614607794
2019-11-04,1.0559971718765317
2019-11-11,1.0494453118687386
2019-11-18,1.050558846936392
2019-11-25,1.0483247712066044
2019-12-02,1.045367729221486
2019-12-09,1.0402804210454981
2019-12-16,1.043184711341349
2019-12-23,1.0430594668960411
2019-12-30,1.0400673994980292
2020-01-06,1.043275818055237
2020-01-13,1.0459679842864018
2020-01-20,1.046243776145697
2020-01-27,1.0442727857259235
2020-02-03,1.0564928364810053
2020-02-10,1.0572123523928556
2020-02-17,1.0555832101436473
2020-02-24,1.052449228508973
2020-03-02,1.0637627051393024
2020-03-09,1.0636386384736307
2020-03-16,1.0515791171770517
2020-03-23,1.0550288890124222
2020-03-30,1.059386201180218
2020-04-03,1.0763340276881457
2020-04-13,1.0780634723514457
2020-04-20,1.0662217836386414
2020-04-27,1.0685555074736661
2020-05-04,1.06726001240028
2020-05-11,1.066339940719571
2020-05-18,1.0671439121974766
2020-05-22,1.06571923485266
2020-06-01,1.0737554010693695
2020-06-08,1.0686725448443888
2020-06-15,1.0730964652730735
2020-06-22,1.0797291696516154
2020-06-29,1.0826005372062106
2020-07-06,1.085588361658331
2020-07-13,1.0789808442367772
2020-07-20,1.080239546483242
2020-07-27,1.0809977855701882
2020-08-03,1.08523166632559
2020-08-10,1.0820315632497366
2020-08-17,1.0886954520801588
2020-08-24,1.0930319494689025
2020-08-31,1.1014491943719071
2020-09-07,1.0954771030209565
2020-09-14,1.1038304113246953
2020-09-21,1.0962550151476476
2020-09-28,1.093414141968047
2020-10-05,1.0973701796937056
2020-10-19,1.0976877728045373
2020-10-26,1.1060283996528772
2020-11-02,1.1106394408050981
2020-11-09,1.1033125201148133
2020-11-14,1.1050903844381277
2020-11-23,1.1099307877566635
2020-11-27,1.1119876753559366
2020-12-07,1.1118756434483805
2020-12-14,1.1129814698153666
2020-12-21,1.118389639062555
2020-12-28,1.1179681558963077
2021-01-04,1.1253595100864024
2021-01-11,1.123959067460964
2021-01-18,1.13949326067706
2021-01-25,1.1355133843322474
2021-02-01,1.1436132590096293
2021-02-08,1.1420913040301155
2021-02-15,1.1436620462548541
2021-02-22,1.1477067226107693
2021-03-01,1.156097706396097
2021-03-08,1.1558786012359308
2021-03-15,1.1597982710241301
2021-03-22,1.160958499728138
2021-03-26,1.1719690985018696
2021-04-05,1.1821258154690497
2021-04-12,1.1866859334738236
2021-04-19,1.189440533662385
2021-04-26,1.2024248957810657
2021-05-03,1.1983761834100297
2021-05-10,1.1964868963107747
2021-05-17,1.2076276100646082
2021-05-24,1.2090241163266537
2021-05-31,1.2055278438395958
2021-06-07,1.2105812568332175
2021-06-14,1.2138457988002105
2021-06-21,1.21517422052003
2021-06-28,1.2144579825429336
2021-07-05,1.2151336487286533
2021-07-12,1.2149449716014682
2021-07-19,1.2082734513011348
2021-07-26,1.2067931555828502
2021-08-02,1.210895012111227
2021-08-09,1.2063513049587522
2021-08-16,1.2120466756966561
2021-08-23,1.2208395416141247
2021-08-30,1.2292126891905815
2021-09-06,1.2324281407077018
2021-09-13,1.2349066863790028
2021-09-20,1.241612618954653
2021-09-27,1.2325137451979102
2021-10-04,1.2352687351935256
2021-10-11,1.2380186857815454
2021-10-18,1.2258768092763939
2021-10-25,1.2381907015612943
2021-11-01,1.2372043794640848
2021-11-08,1.2414260763605622
2021-11-15,1.2391766740794858
2021-11-22,1.2466424343627107
2021-11-29,1.252524558285078
2021-12-06,1.2629172133553719
2021-12-13,1.2634784114258801
2021-12-20,1.2754453332201743
2021-12-27,1.2820354351074317
2022-01-03,1.2827892949241941
2022-01-10,1.2836035186832402
2022-01-17,1.2716870387259016
2022-01-24,1.2736351938408677
2022-01-31,1.2814477888272018
2022-02-07,1.2807336763700168
2022-02-14,1.298221828554913
2022-02-21,1.298673925504748
2022-02-28,1.2959034247585641
2022-03-07,1.3026481558370733
2022-03-14,1.2999659364669476
2022-03-21,1.2999942115898768
2022-03-28,1.3067782740093097
2022-04-04,1.309924423173137
2022-04-11,1.301084098697251
2022-04-18,1.2909865716583195
2022-04-25,1.2990035364771444
2022-05-02,1.2847185756521113
2022-05-09,1.2749453653928806
2022-05-16,1.2890261030928902
2022-05-23,1.2836068450882365
2022-05-30,1.290395776379641
2022-06-06,1.2831906871556324
2022-06-13,1.2801290876525666
2022-06-20,1.292698294433092
2022-06-27,1.2935311050028069
2022-07-04,1.2935784299731923
2022-07-11,1.2893830958831032
2022-07-18,1.2906118209983581
2022-07-25,1.282933069225124
2022-08-01,1.282430218135979
2022-08-08,1.2839473347803885
2022-08-12,1.289405723996415
2022-08-22,1.2981672781438485
2022-08-29,1.318200914053354
2022-09-05,1.3204425713790087
2022-09-12,1.3296021493156525
2022-09-19,1.345174870470482
2022-09-26,1.350790880521657
2022-10-03,1.3773580692276997
2022-10-10,1.3552841563033295
2022-10-17,1.367139248598529
2022-10-24,1.366575689478926
2022-10-31,1.3753785505064455
2022-11-07,1.3684301335214186
2022-11-14,1.3759759620572276
2022-11-28,1.3735561311323257
2022-12-05,1.369559578856754
2022-12-12,1.3753715881335478
2022-12-19,1.3726094700191385
2022-12-26,1.3807690879281203
2023-01-02,1.382125282789476
2023-01-09,1.3748192222214022
2023-01-16,1.3772458809648924
2023-01-23,1.3710063565484933
2023-01-30,1.3890747982161253
2023-02-06,1.3856640276821444
